"input_gene","RNA_assay","SCT_assay"
"Syngr3","Syngr3","Syngr3"
"Gfer","Gfer","Gfer"
"Noxo1","Noxo1","Noxo1"
"Tbl3","Tbl3","Tbl3"
"Rnf151","Rnf151","Rnf151"
"LOC120095472","Snora78","Snora78"
"Ndufb10","Ndufb10","Ndufb10"
"Rpl3l","Rpl3l","Rpl3l"
"Msrb1","Msrb1","Msrb1"
"Hs3st6","Hs3st6","Hs3st6"
"Meiob","Meiob",NA
"Fahd1","Fahd1","Fahd1"
"Hagh","Hagh","Hagh"
"Igfals","Igfals","Igfals"
"Nubp2","Nubp2","Nubp2"
"Spsb3","Spsb3","Spsb3"
"Eme2","Eme2","Eme2"
"Mrps34","Mrps34","Mrps34"
"Nme3","Nme3","Nme3"
"Mapk8ip3","Mapk8ip3","Mapk8ip3"
"Jpt2","Jpt2","Jpt2"
"Cramp1","Cramp1","Cramp1"
"Ift140","Ift140","Ift140"
"Tmem204","Tmem204","Tmem204"
"Telo2","Telo2","Telo2"
"Clcn7","Clcn7","Clcn7"
"Ccdc154","Ccdc154",NA
"Percc1","Percc1","Percc1"
"Unkl","Unkl","Unkl"
"Gnptg","Gnptg","Gnptg"
"Tsr3","Tsr3","Tsr3"
"Baiap3","Baiap3",NA
"Ube2i","Ube2i","Ube2i"
"Tpsab1","Tpsab1","Tpsab1"
"Tpsb2","Tpsb2","Tpsb2"
"Tpsg1","Tpsg1",NA
"Cacna1h","Cacna1h","Cacna1h"
"Tekt4","Tekt4","Tekt4"
"Sox8","Sox8","Sox8"
"Lmf1","Lmf1","Lmf1"
"Gng13","Gng13","Gng13"
"Chtf18","Chtf18","Chtf18"
"Rpusd1","Rpusd1","Rpusd1"
"Mslnl","Mslnl","Mslnl"
"Msln","Msln","Msln"
"Ciao3","Ciao3","Ciao3"
"Haghl","Haghl","Haghl"
"Ccdc78","Ccdc78","Ccdc78"
"Antkmt","Antkmt","Antkmt"
"Metrn","Metrn","Metrn"
"Fbxl16","Fbxl16","Fbxl16"
"Wdr24","Wdr24","Wdr24"
"Jmjd8","Jmjd8","Jmjd8"
"Stub1","Stub1","Stub1"
"Rhbdl1","Rhbdl1","Rhbdl1"
"Rhot2","Rhot2","Rhot2"
"Wdr90","Wdr90","Wdr90"
"Mcrip2","Mcrip2","Mcrip2"
"Mettl26","Mettl26","Mettl26"
"Wfikkn1","Wfikkn1","Wfikkn1"
"Rab40c","Rab40c","Rab40c"
"Pigq","Pigq","Pigq"
"Prr35","Prr35","Prr35"
"Capn15","Capn15","Capn15"
"Pgap6","Pgap6","Pgap6"
"Mrpl28","Mrpl28","Mrpl28"
"Axin1","Axin1","Axin1"
"Pdia2","Pdia2","Pdia2"
"Arhgdig","Arhgdig","Arhgdig"
"Fam234a","Fam234a","Fam234a"
"Luc7l","Luc7l","Luc7l"
"Hbz","Hba-x",NA
"Nprl3","Nprl3","Nprl3"
"Mpg","Mpg","Mpg"
"Rhbdf1","Rhbdf1","Rhbdf1"
"Snrnp25","Snrnp25","Snrnp25"
"Il9r","Il9r",NA
"Nsg2","Nsg2","Nsg2"
"RGD1311343","4930524B15Rik","4930524B15Rik"
"Cpeb4","Cpeb4","Cpeb4"
"Bod1","Bod1","Bod1"
"Stc2","Stc2","Stc2"
"Bnip1","Bnip1","Bnip1"
"Crebrf","Crebrf","Crebrf"
"Atp6v0e1","Atp6v0e","Atp6v0e"
"Ergic1","Ergic1","Ergic1"
"Neurl1b","Neurl1b","Neurl1b"
"Sh3pxd2b","Sh3pxd2b","Sh3pxd2b"
"Ubtd2","Ubtd2","Ubtd2"
"Efcab9","Efcab9","Efcab9"
"Stk10","Stk10","Stk10"
"Fbxw11","Fbxw11","Fbxw11"
"Smim23","Smim23","Smim23"
"Fgf18","Fgf18","Fgf18"
"Npm1","Npm1","Npm1"
"Ranbp17","Ranbp17","Ranbp17"
"Kcnip1","Kcnip1","Kcnip1"
"Kcnmb1","Kcnmb1","Kcnmb1"
"Lcp2","Lcp2","Lcp2"
"C10H5orf58","4930469K13Rik","4930469K13Rik"
"Dock2","Dock2","Dock2"
"Insyn2b","Insyn2b","Insyn2b"
"Spdl1","Spdl1","Spdl1"
"Slit3","Slit3","Slit3"
"Pank3","Pank3","Pank3"
"Fbll1","Fbll1","Fbll1"
"Rars1","Rars","Rars"
"Wwc1","Wwc1","Wwc1"
"Tenm2","Tenm2","Tenm2"
"Mat2b","Mat2b","Mat2b"
"Hmmr","Hmmr","Hmmr"
"Nudcd2","Nudcd2","Nudcd2"
"Ccng1","Ccng1","Ccng1"
"Gabrg2","Gabrg2","Gabrg2"
"Gabra1","Gabra1","Gabra1"
"Gabra6","Gabra6","Gabra6"
"Gabrb2","Gabrb2","Gabrb2"
"Atp10b","Atp10b","Atp10b"
"Pttg1","Pttg1","Pttg1"
"Slu7","Slu7","Slu7"
"C1qtnf2","C1qtnf2","C1qtnf2"
"Ccnjl","Ccnjl","Ccnjl"
"Fabp6","Fabp6","Fabp6"
"Pwwp2a","Pwwp2a","Pwwp2a"
"Ttc1","Ttc1","Ttc1"
"Adra1b","Adra1b","Adra1b"
"Il12b","Il12b",NA
"Ublcp1","Ublcp1","Ublcp1"
"Rnf145","Rnf145","Rnf145"
"Ebf1","Ebf1","Ebf1"
"Clint1","Clint1","Clint1"
"Lsm11","Lsm11","Lsm11"
"Thg1l","Thg1l","Thg1l"
"Nipal4","Nipal4","Nipal4"
"Cyfip2","Cyfip2","Cyfip2"
"Fndc9","Fndc9","Fndc9"
"Itk","Itk","Itk"
"Med7","Med7","Med7"
"Havcr2","Havcr2","Havcr2"
"LOC100359777","Gm12169",NA
"LOC689968","BC053393",NA
"Timd2","Timd2","Timd2"
"Havcr1","Havcr1","Havcr1"
"Timd4","Timd4","Timd4"
"Sgcd","Sgcd","Sgcd"
"Rack1","Rack1","Rack1"
"LOC120095394","Gm25296",NA
"Trim41","Trim41","Trim41"
"Trim7","Trim7","Trim7"
"Irgm","Irgm1","Irgm1"
"Ifi47","Ifi47","Ifi47"
"Btnl9","Btnl9","Btnl9"
"Zfp62","Zfp62","Zfp62"
"Mgat1","Mgat1","Mgat1"
"Flt4","Flt4",NA
"Cnot6","Cnot6","Cnot6"
"Gfpt2","Gfpt2","Gfpt2"
"Mapk9","Mapk9","Mapk9"
"Rasgef1c","Rasgef1c","Rasgef1c"
"Rnf130","Rnf130","Rnf130"
"Tbc1d9b","Tbc1d9b","Tbc1d9b"
"Mrnip","Mrnip","Mrnip"
"Sqstm1","Sqstm1","Sqstm1"
"Mgat4b","Mgat4b","Mgat4b"
"Ltc4s","Ltc4s","Ltc4s"
"Maml1","Maml1","Maml1"
"Canx","Canx","Canx"
"Cby3","Cby3","Cby3"
"Hnrnph1","Hnrnph1","Hnrnph1"
"Rufy1","Rufy1","Rufy1"
"Adamts2","Adamts2","Adamts2"
"Zfp354c","Zfp354c","Zfp354c"
"Zfp879","Zfp879","Zfp879"
"Grm6","Grm6","Grm6"
"Zfp2","Zfp2","Zfp2"
"Zfp354a","Zfp354a","Zfp354a"
"Clk4","Clk4","Clk4"
"Col23a1","Col23a1","Col23a1"
"Phykpl","Phykpl","Phykpl"
"Hnrnpab","Hnrnpab","Hnrnpab"
"Nhp2","Nhp2","Nhp2"
"Rmnd5b","Rmnd5b","Rmnd5b"
"N4bp3","N4bp3","N4bp3"
"Sec24a","Sec24a","Sec24a"
"Jade2","Jade2","Jade2"
"Cdkn2aipnl","Cdkn2aipnl","Cdkn2aipnl"
"Ube2b","Ube2b","Ube2b"
"Cdkl3","Cdkl3","Cdkl3"
"LOC120095320","Fam162a","Fam162a"
"Skp1","Skp1","Skp1"
"Tcf7","Tcf7","Tcf7"
"Vdac1","Vdac1","Vdac1"
"Fstl4","Fstl4","Fstl4"
"Hspa4","Hspa4","Hspa4"
"Aff4","Aff4","Aff4"
"Leap2","Leap2",NA
"Uqcrq","Uqcrq","Uqcrq"
"Gdf9","Gdf9","Gdf9"
"Shroom1","Shroom1","Shroom1"
"Sowaha","Sowaha","Sowaha"
"Septin8","Septin8","Septin8"
"Kif3a","Kif3a","Kif3a"
"Rad50","Rad50","Rad50"
"Irf1","Irf1","Irf1"
"Slc22a5","Slc22a5","Slc22a5"
"Slc22a4","Slc22a4","Slc22a4"
"Pdlim4","Pdlim4","Pdlim4"
"P4ha2","P4ha2","P4ha2"
"Acsl6","Acsl6","Acsl6"
"Meikin","Meikin",NA
"Fnip1","Fnip1","Fnip1"
"Rapgef6","Rapgef6","Rapgef6"
"Cdc42se2","Cdc42se2","Cdc42se2"
"Lyrm7","Lyrm7","Lyrm7"
"Tnip1","Tnip1","Tnip1"
"Anxa6","Anxa6","Anxa6"
"Ccdc69","Ccdc69","Ccdc69"
"Gm2a","Gm2a","Gm2a"
"Slc36a2","Slc36a2",NA
"Slc36a1","Slc36a1","Slc36a1"
"Fat2","Fat2","Fat2"
"Sparc","Sparc","Sparc"
"Atox1","Atox1","Atox1"
"G3bp1","G3bp1","G3bp1"
"Glra1","Glra1","Glra1"
"Nmur2","Nmur2","Nmur2"
"Gria1","Gria1","Gria1"
"Fam114a2","Fam114a2","Fam114a2"
"Mfap3","Mfap3","Mfap3"
"Galnt10","Galnt10","Galnt10"
"Sap30l","Sap30l","Sap30l"
"Larp1","Larp1","Larp1"
"Faxdc2","Faxdc2","Faxdc2"
"Cnot8","Cnot8","Cnot8"
"Gemin5","Gemin5","Gemin5"
"Mrpl22","Mrpl22","Mrpl22"
"Igtp","Irgm2","Irgm2"
"RGD1308564","4930438A08Rik",NA
"Zfp692","Zfp692","Zfp692"
"Zfp672","Zfp672","Zfp672"
"Sh3bp5l","Sh3bp5l","Sh3bp5l"
"Lypd8","Lypd8","Lypd8"
"LOC24906","Gm12253","Gm12253"
"Trim58","Trim58","Trim58"
"Fam183a","Fam183b","Fam183b"
"Zfp39","Zfp39","Zfp39"
"Rnf187","Rnf187","Rnf187"
"Hist3h2ba","H2bc27","H2bc27"
"H2bu1","H2bc26-ps",NA
"Trim17","Trim17","Trim17"
"Trim11","Trim11","Trim11"
"Obscn","Obscn","Obscn"
"Iba57","Iba57","Iba57"
"Gjc2","Gjc2","Gjc2"
"Guk1","Guk1","Guk1"
"Mrpl55","Mrpl55","Mrpl55"
"Arf1","Arf1","Arf1"
"Wnt9a","Wnt9a","Wnt9a"
"Prss38","Prss38","Prss38"
"Snap47","Snap47","Snap47"
"Jmjd4","Jmjd4","Jmjd4"
"Zfp867","Zfp867","Zfp867"
"Zfp496","Zkscan17","Zkscan17"
"Nlrp3","Nlrp3","Nlrp3"
"Mprip","Mprip","Mprip"
"Pld6","Pld6","Pld6"
"Flcn","Flcn","Flcn"
"Cops3","Cops3","Cops3"
"Nt5m","Nt5m","Nt5m"
"Med9","Med9","Med9"
"Rasd1","Rasd1","Rasd1"
"Pemt","Pemt","Pemt"
"Rai1","Rai1","Rai1"
"Srebf1","Srebf1","Srebf1"
"Tom1l2","Tom1l2","Tom1l2"
"Drc3","Drc3","Drc3"
"Atpaf2","Atpaf2","Atpaf2"
"Gid4","Gid4","Gid4"
"Drg2","Drg2","Drg2"
"Myo15a","Myo15a","Myo15a"
"Alkbh5","Alkbh5","Alkbh5"
"Llgl1","Llgl1","Llgl1"
"Flii","Flii","Flii"
"Mief2","Mief2","Mief2"
"Top3a","Top3a","Top3a"
"Smcr8","Smcr8","Smcr8"
"Shmt1","Shmt1","Shmt1"
"Dhrs7b","Dhrs7b","Dhrs7b"
"Tmem11","Tmem11","Tmem11"
"Map2k3","Map2k3","Map2k3"
"Kcnj12","Kcnj12","Kcnj12"
"Tnfrsf13b","Tnfrsf13b","Tnfrsf13b"
"Usp22","Usp22","Usp22"
"Aldh3a1","Aldh3a1","Aldh3a1"
"Aldh3a2","Aldh3a2","Aldh3a2"
"Slc47a2","Slc47a2","Slc47a2"
"Slc47a1","Slc47a1","Slc47a1"
"Rnf112","Rnf112","Rnf112"
"Mfap4","Mfap4","Mfap4"
"Mapk7","Mapk7","Mapk7"
"B9d1","B9d1","B9d1"
"Epn2","Epn2","Epn2"
"Grap","Grap","Grap"
"Fam83g","Fam83g","Fam83g"
"Prpsap2","Prpsap2","Prpsap2"
"Ulk2","Ulk2","Ulk2"
"Akap10","Akap10","Akap10"
"Specc1","Specc1","Specc1"
"Adora2b","Adora2b","Adora2b"
"Zswim7","Zswim7","Zswim7"
"Ttc19","Ttc19","Ttc19"
"Ncor1","Ncor1","Ncor1"
"Pigl","Pigl","Pigl"
"Cenpv","Cenpv","Cenpv"
"Ubb","Ubb","Ubb"
"Trpv2","Trpv2","Trpv2"
"Lrrc75a","Lrrc75a","Lrrc75a"
"Mmgt2","Mmgt2","Mmgt2"
"Zfp287","Zfp287","Zfp287"
"Zfp286a","Zfp286","Zfp286"
"Tvp23b","Tvp23b","Tvp23b"
"Tekt3","Tekt3","Tekt3"
"Pmp22","Pmp22","Pmp22"
"Cox10","Cox10","Cox10"
"Hs3st3a1","Hs3st3a1",NA
"Elac2","Elac2","Elac2"
"Arhgap44","Arhgap44","Arhgap44"
"Myocd","Myocd","Myocd"
"Map2k4","Map2k4","Map2k4"
"Zfp18","Zkscan6","Zkscan6"
"Dnah9","Dnah9","Dnah9"
"Shisa6","Shisa6","Shisa6"
"Tmem220","Tmem220","Tmem220"
"Adprm","Adprm","Adprm"
"Sco1","Sco1","Sco1"
"Myh3","Myh3","Myh3"
"Myh8","Myh8","Myh8"
"Gas7","Gas7","Gas7"
"Rcvrn","Rcvrn","Rcvrn"
"Dhrs7c","Dhrs7c","Dhrs7c"
"Usp43","Usp43","Usp43"
"Cfap52","Cfap52","Cfap52"
"Stx8","Stx8","Stx8"
"Ntn1","Ntn1","Ntn1"
"Pik3r5","Pik3r5","Pik3r5"
"Pik3r6","Pik3r6","Pik3r6"
"Mfsd6l","Mfsd6l","Mfsd6l"
"Ccdc42","Ccdc42","Ccdc42"
"Myh10","Myh10","Myh10"
"Ndel1","Ndel1","Ndel1"
"Odf4","Odf4","Odf4"
"Arhgef15","Arhgef15","Arhgef15"
"Slc25a35","Slc25a35","Slc25a35"
"Rangrf","Rangrf","Rangrf"
"Pfas","Pfas","Pfas"
"Ctc1","Ctc1","Ctc1"
"Aurkb","Aurkb","Aurkb"
"Borcs6","Borcs6","Borcs6"
"Tmem107","Tmem107","Tmem107"
"Vamp2","Vamp2","Vamp2"
"Per1","Per1","Per1"
"Hes7","Hes7","Hes7"
"Aloxe3","Aloxe3","Aloxe3"
"Alox12b","Alox12b","Alox12b"
"Cntrob","Cntrob","Cntrob"
"Trappc1","Trappc1","Trappc1"
"Kcnab3","Kcnab3","Kcnab3"
"Rnf227","Rnf227","Rnf227"
"Chd3","Chd3","Chd3"
"Cyb5d1","Cyb5d1","Cyb5d1"
"Naa38","Naa38","Naa38"
"Tmem88","Tmem88","Tmem88"
"Kdm6b","Kdm6b","Kdm6b"
"Dnah2","Dnah2","Dnah2"
"Efnb3","Efnb3","Efnb3"
"Wrap53","Wrap53","Wrap53"
"Tp53","Trp53","Trp53"
"Atp1b2","Atp1b2","Atp1b2"
"Shbg","Shbg","Shbg"
"Sat2","Sat2","Sat2"
"Fxr2","Fxr2","Fxr2"
"Sox15","Sox15","Sox15"
"Mpdu1","Mpdu1","Mpdu1"
"LOC120095401","Gm24029","Gm24029"
"LOC120095433","Gm22988","Gm22988"
"Senp3","Senp3","Senp3"
"Tnfsf13","Tnfsf13","Tnfsf13"
"Tnfsf12","Tnfsf12","Tnfsf12"
"Polr2a","Polr2a","Polr2a"
"Zbtb4","Zbtb4","Zbtb4"
"Chrnb1","Chrnb1","Chrnb1"
"Fgf11","Fgf11","Fgf11"
"Tmem102","Tmem102","Tmem102"
"Spem2","Spem2",NA
"Spem1","Spem1","Spem1"
"Nlgn2","Nlgn2","Nlgn2"
"Tmem256","Tmem256","Tmem256"
"Plscr3","Plscr3","Plscr3"
"Tnk1","Tnk1","Tnk1"
"Kctd11","Kctd11","Kctd11"
"Acap1","Acap1","Acap1"
"LOC497940","2810408A11Rik","2810408A11Rik"
"Neurl4","Neurl4","Neurl4"
"Gps2","Gps2","Gps2"
"Eif5a","Eif5a","Eif5a"
"Ybx2","Ybx2","Ybx2"
"Slc2a4","Slc2a4","Slc2a4"
"Elp5","Elp5","Elp5"
"Ctdnep1","Ctdnep1","Ctdnep1"
"Phf23","Phf23","Phf23"
"Dvl2","Dvl2","Dvl2"
"Acadvl","Acadvl","Acadvl"
"Dlg4","Dlg4","Dlg4"
"Asgr1","Asgr1","Asgr1"
"Asgr2","Asgr2","Asgr2"
"Slc16a13","Slc16a13","Slc16a13"
"Slc16a11","Slc16a11","Slc16a11"
"Bcl6b","Bcl6b","Bcl6b"
"Alox12","Alox12","Alox12"
"Alox15","Alox15","Alox15"
"Pelp1","Pelp1","Pelp1"
"Arrb2","Arrb2","Arrb2"
"Med11","Med11","Med11"
"Cxcl16","Cxcl16","Cxcl16"
"Zmynd15","Zmynd15","Zmynd15"
"Vmo1","Vmo1","Vmo1"
"Gltpd2","Gltpd2","Gltpd2"
"Pld2","Pld2","Pld2"
"Mink1","Mink1","Mink1"
"Chrne","Chrne","Chrne"
"LOC687707","4930544D05Rik",NA
"Gp1ba","Gp1ba",NA
"Slc25a11","Slc25a11","Slc25a11"
"Rnf167","Rnf167","Rnf167"
"Pfn1","Pfn1","Pfn1"
"Eno3","Eno3","Eno3"
"Spag7","Spag7","Spag7"
"Camta2","Camta2","Camta2"
"Inca1","Inca1","Inca1"
"Kif1c","Kif1c","Kif1c"
"Zfp3","Zfp3","Zfp3"
"Scimp","Scimp","Scimp"
"Rabep1","Rabep1","Rabep1"
"Nup88","Nup88","Nup88"
"Rpain","Rpain","Rpain"
"C1qbp","C1qbp","C1qbp"
"Dhx33","Dhx33","Dhx33"
"Derl2","Derl2","Derl2"
"Mis12","Mis12","Mis12"
"LOC691995","6330403K07Rik","6330403K07Rik"
"Nlrp1a","Nlrp1a","Nlrp1a"
"Wscd1","Wscd1","Wscd1"
"Pitpnm3","Pitpnm3","Pitpnm3"
"RGD1304728","4933427D14Rik","4933427D14Rik"
"Med31","Med31","Med31"
"LOC100912483","4930563E22Rik","4930563E22Rik"
"Slc13a5","Slc13a5","Slc13a5"
"Xaf1","Xaf1","Xaf1"
"Fbxo39","Fbxo39","Fbxo39"
"Tekt1","Tekt1","Tekt1"
"Smtnl2","Smtnl2","Smtnl2"
"Ggt6","Ggt6",NA
"Mybbp1a","Mybbp1a","Mybbp1a"
"Spns2","Spns2","Spns2"
"Spns3","Spns3","Spns3"
"Ube2g1","Ube2g1","Ube2g1"
"Ankfy1","Ankfy1","Ankfy1"
"Cyb5d2","Cyb5d2","Cyb5d2"
"Zzef1","Zzef1","Zzef1"
"Atp2a3","Atp2a3","Atp2a3"
"P2rx1","P2rx1","P2rx1"
"Camkk1","Camkk1","Camkk1"
"Ncbp3","Ncbp3","Ncbp3"
"Itgae","Itgae","Itgae"
"Haspin","Haspin","Haspin"
"P2rx5","P2rx5","P2rx5"
"Emc6","Emc6","Emc6"
"Tax1bp3","Tax1bp3","Tax1bp3"
"Ctns","Ctns","Ctns"
"Shpk","Shpk","Shpk"
"Trpv1","Trpv1","Trpv1"
"Trpv3","Trpv3","Trpv3"
"Aspa","Aspa","Aspa"
"Spata22","Spata22","Spata22"
"Rap1gap2","Rap1gap2","Rap1gap2"
"Ccdc92b","Ccdc92b","Ccdc92b"
"Cluh","Cluh","Cluh"
"Pafah1b1","Pafah1b1","Pafah1b1"
"Mettl16","Mettl16","Mettl16"
"Mnt","Mnt","Mnt"
"Sgsm2","Sgsm2","Sgsm2"
"Tsr1","Tsr1","Tsr1"
"Srr","Srr","Srr"
"Smg6","Smg6","Smg6"
"Hic1","Hic1","Hic1"
"Rtn4rl1","Rtn4rl1","Rtn4rl1"
"Rpa1","Rpa1","Rpa1"
"Smyd4","Smyd4","Smyd4"
"Serpinf1","Serpinf1","Serpinf1"
"Serpinf2","Serpinf2","Serpinf2"
"Wdr81","Wdr81","Wdr81"
"Tlcd2","Tlcd2","Tlcd2"
"Prpf8","Prpf8","Prpf8"
"Rilp","Rilp","Rilp"
"Scarf1","Scarf1","Scarf1"
"Slc43a2","Slc43a2","Slc43a2"
"Pitpna","Pitpna","Pitpna"
"Inpp5k","Inpp5k","Inpp5k"
"Myo1c","Myo1c","Myo1c"
"Crk","Crk","Crk"
"Ywhae","Ywhae","Ywhae"
"Doc2b","Doc2b","Doc2b"
"Rph3al","Rph3al","Rph3al"
"Rflnb","Rflnb","Rflnb"
"Vps53","Vps53","Vps53"
"Tlcd3a","Tlcd3a","Tlcd3a"
"Mrm3","Mrm3","Mrm3"
"Nxn","Nxn","Nxn"
"Timm22","Timm22","Timm22"
"Abr","Abr","Abr"
"Bhlha9","Bhlha9","Bhlha9"
"Trarg1","Trarg1","Trarg1"
"Gosr1","Gosr1","Gosr1"
"Cpd","Cpd","Cpd"
"Blmh","Blmh","Blmh"
"Slc6a4","Slc6a4","Slc6a4"
"Nsrp1","Nsrp1","Nsrp1"
"Efcab5","Efcab5","Efcab5"
"Ssh2","Ssh2","Ssh2"
"Coro6","Coro6","Coro6"
"Ankrd13b","Ankrd13b","Ankrd13b"
"Git1","Git1","Git1"
"Tp53i13","Trp53i13","Trp53i13"
"Abhd15","Abhd15","Abhd15"
"Taok1","Taok1","Taok1"
"Nufip2","Nufip2","Nufip2"
"Myo18a","Myo18a","Myo18a"
"Pipox","Pipox","Pipox"
"Sez6","Sez6","Sez6"
"Phf12","Phf12","Phf12"
"Flot2","Flot2","Flot2"
"Eral1","Eral1","Eral1"
"Fam222b","Fam222b","Fam222b"
"Traf4","Traf4","Traf4"
"Nek8","Nek8","Nek8"
"Tlcd1","Tlcd1","Tlcd1"
"Rab34","Rab34","Rab34"
"Proca1","Proca1","Proca1"
"Supt6h","Supt6","Supt6"
"Sdf2","Sdf2","Sdf2"
"Rskr","Bltp2","Bltp2"
"Spag5","Spag5","Spag5"
"Aldoc","Aldoc","Aldoc"
"Pigs","Pigs","Pigs"
"Unc119","Unc119","Unc119"
"Slc46a1","Slc46a1","Slc46a1"
"Sarm1","Sarm1","Sarm1"
"Vtn","Vtn","Vtn"
"Tmem199","Tmem199","Tmem199"
"Poldip2","Poldip2","Poldip2"
"Tnfaip1","Tnfaip1","Tnfaip1"
"Ift20","Ift20","Ift20"
"Ccnq","Ccnq","Ccnq"
"Lyrm9","Lyrm9","Lyrm9"
"Nos2","Nos2",NA
"Ksr1","Ksr1","Ksr1"
"Wsb1","Wsb1","Wsb1"
"Nf1","Nf1","Nf1"
"Omg","Omg","Omg"
"Evi2b","Evi2b","Evi2b"
"Evi2a","Evi2a","Evi2a"
"Rab11fip4","Rab11fip4","Rab11fip4"
"Utp6","Utp6","Utp6"
"Suz12","Suz12","Suz12"
"Crlf3","Crlf3","Crlf3"
"Atad5","Atad5","Atad5"
"Tefm","Tefm","Tefm"
"Adap2","Adap2","Adap2"
"Rhbdl3","Rhbdl3","Rhbdl3"
"RGD1310429","5730455P16Rik","5730455P16Rik"
"Psmd11","Psmd11","Psmd11"
"Cdk5r1","Cdk5r1","Cdk5r1"
"Myo1d","Myo1d","Myo1d"
"Tmem98","Tmem98","Tmem98"
"Asic2","Asic2","Asic2"
"Ccl2","Ccl2","Ccl2"
"Ccl7","Ccl7","Ccl7"
"Ccl11","Ccl11","Ccl11"
"Ccl12","Ccl12","Ccl12"
"Ccl1","Ccl1","Ccl1"
"Tmem132e","Tmem132e","Tmem132e"
"Cct6b","Cct6b","Cct6b"
"Zfp830","Zfp830","Zfp830"
"Lig3","Lig3","Lig3"
"Nle1","Nle1","Nle1"
"Unc45b","Unc45b","Unc45b"
"Slfn5","Slfn5","Slfn5"
"Slfn2","Slfn2","Slfn2"
"Slfn1","Slfn1","Slfn1"
"Pex12","Pex12","Pex12"
"Ap2b1","Ap2b1","Ap2b1"
"Rasl10b","Rasl10b","Rasl10b"
"Gas2l2","Gas2l2","Gas2l2"
"LOC689039","1700020L24Rik","1700020L24Rik"
"Mmp28","Mmp28","Mmp28"
"Taf15","Taf15","Taf15"
"Ccl9","Ccl9","Ccl9"
"Ccl3","Ccl3","Ccl3"
"Ccl4","Ccl4","Ccl4"
"Wfdc21","Wfdc21",NA
"Heatr6","Heatr6","Heatr6"
"Hnf1b","Hnf1b","Hnf1b"
"Ddx52","Ddx52","Ddx52"
"Synrg","Synrg","Synrg"
"Tada2a","Tada2a","Tada2a"
"Acaca","Acaca","Acaca"
"LOC102552988","Gm11437","Gm11437"
"Aatf","Aatf","Aatf"
"Lhx1","Lhx1","Lhx1"
"Mrm1","Mrm1","Mrm1"
"Dhrs11","Dhrs11","Dhrs11"
"Ggnbp2","Ggnbp2","Ggnbp2"
"Myo19","Myo19","Myo19"
"Usp32","Usp32","Usp32"
"Appbp2","Appbp2","Appbp2"
"Ppm1d","Ppm1d","Ppm1d"
"Bcas3","Bcas3","Bcas3"
"Tbx2","Tbx2","Tbx2"
"Tbx4","Tbx4","Tbx4"
"Brip1","Brip1","Brip1"
"Ints2","Ints2","Ints2"
"Med13","Med13","Med13"
"Rnft1","Rnft1","Rnft1"
"Rps6kb1","Rps6kb1","Rps6kb1"
"Tubd1","Tubd1","Tubd1"
"Vmp1","Vmp1","Vmp1"
"Ptrh2","Ptrh2","Ptrh2"
"Cltc","Cltc","Cltc"
"Dhx40","Dhx40","Dhx40"
"Gdpd1","Gdpd1","Gdpd1"
"Smg8","Smg8","Smg8"
"Prr11","Prr11","Prr11"
"Trim37","Trim37","Trim37"
"Ppm1e","Ppm1e","Ppm1e"
"Rad51c","Rad51c","Rad51c"
"Tex14","Tex14","Tex14"
"Septin4","Septin4","Septin4"
"Mtmr4","Mtmr4","Mtmr4"
"Hsf5","Hsf5","Hsf5"
"Rnf43","Rnf43","Rnf43"
"Supt4h1","Supt4a","Supt4a"
"Tspoap1","Tspoap1","Tspoap1"
"Mpo","Mpo","Mpo"
"Lpo","Lpo","Lpo"
"Mks1","Mks1","Mks1"
"Srsf1","Srsf1","Srsf1"
"Vezf1","Vezf1","Vezf1"
"Cuedc1","Cuedc1","Cuedc1"
"Mrps23","Mrps23","Mrps23"
"Msi2","Msi2","Msi2"
"Akap1","Akap1","Akap1"
"Scpep1","Scpep1","Scpep1"
"Coil","Coil","Coil"
"Trim25","Trim25","Trim25"
"Dgke","Dgke","Dgke"
"Nog","Nog","Nog"
"Ankfn1","Ankfn1","Ankfn1"
"Pctp","Pctp","Pctp"
"Tmem100","Tmem100","Tmem100"
"Mmd","Mmd","Mmd"
"Hlf","Hlf","Hlf"
"Stxbp4","Stxbp4","Stxbp4"
"Cox11","Cox11","Cox11"
"Tom1l1","Tom1l1","Tom1l1"
"LOC100363469","Rps24","Rps24"
"Car10","Car10","Car10"
"LOC103693420","Tmsb10b","Tmsb10b"
"Utp18","Utp18","Utp18"
"Mbtd1","Mbtd1","Mbtd1"
"Nme2","Nme2","Nme2"
"Nme1","Nme1","Nme1"
"Spag9","Spag9","Spag9"
"Tob1","Tob1","Tob1"
"Wfikkn2","Wfikkn2","Wfikkn2"
"Ankrd40cl","Ankrd40cl","Ankrd40cl"
"Luc7l3","Luc7l3","Luc7l3"
"Ankrd40","Ankrd40","Ankrd40"
"Abcc3","Abcc3","Abcc3"
"Cacna1g","Cacna1g","Cacna1g"
"Spata20","Spata20","Spata20"
"Epn3","Epn3","Epn3"
"Mycbpap","Mycbpap","Mycbpap"
"Rsad1","Rsad1","Rsad1"
"Acsf2","Acsf2","Acsf2"
"Chad","Chad","Chad"
"Lrrc59","Lrrc59","Lrrc59"
"Eme1","Eme1","Eme1"
"Mrpl27","Mrpl27","Mrpl27"
"Xylt2","Xylt2","Xylt2"
"Col1a1","Col1a1","Col1a1"
