"input_gene","RNA_assay","SCT_assay"
"Dip2b","DIP2B","DIP2B"
"Atf1","ATF1","ATF1"
"Tmprss12","TMPRSS12","TMPRSS12"
"Mettl7a","TMT1A","TMT1A"
"Higd1c","HIGD1C","HIGD1C"
"Slc11a2","SLC11A2","SLC11A2"
"Letmd1","LETMD1","LETMD1"
"Csrnp2","CSRNP2","CSRNP2"
"Tfcp2","TFCP2","TFCP2"
"Pou6f1","POU6F1","POU6F1"
"Dazap2","DAZAP2","DAZAP2"
"Smagp","SMAGP","SMAGP"
"Galnt6","GALNT6","GALNT6"
"Slc4a8","SLC4A8","SLC4A8"
"Scn8a","SCN8A","SCN8A"
"Acvrl1","ACVRL1","ACVRL1"
"Acvr1b","ACVR1B","ACVR1B"
"Tamalin","TAMALIN","TAMALIN"
"Nr4a1","NR4A1","NR4A1"
"Atg101","ATG101","ATG101"
"Krt7","KRT7","KRT7"
"Krt75","KRT75","KRT75"
"Krt71","KRT71","KRT71"
"Krt2","KRT2","KRT2"
"Krt1","KRT1","KRT1"
"Krt77","KRT77","KRT77"
"Krt76","KRT76","KRT76"
"Krt4","KRT4","KRT4"
"Krt79","KRT79","KRT79"
"Krt8","KRT8","KRT8"
"Spryd3","SPRYD3","SPRYD3"
"Igfbp6","IGFBP6","IGFBP6"
"Csad","CSAD","CSAD"
"Znf740","ZNF740","ZNF740"
"Itgb7","ITGB7","ITGB7"
"Rarg","RARG","RARG"
"Mfsd5","MFSD5","MFSD5"
"Espl1","ESPL1","ESPL1"
"Pfdn5","PFDN5","PFDN5"
"Myg1","MYG1","MYG1"
"Aaas","AAAS","AAAS"
"Sp7","SP7","SP7"
"Sp1","SP1","SP1"
"Amhr2","AMHR2","AMHR2"
"Pcbp2","PCBP2","PCBP2"
"Map3k12","MAP3K12","MAP3K12"
"Tarbp2","TARBP2","TARBP2"
"Atf7","ATF7","ATF7"
"Calcoco1","CALCOCO1","CALCOCO1"
"Hoxc4","HOXC4","HOXC4"
"Smug1","SMUG1","SMUG1"
"Cbx5","CBX5","CBX5"
"Nfe2","NFE2","NFE2"
"Copz1","COPZ1","COPZ1"
"Gpr84","GPR84","GPR84"
"Zfp385a","ZNF385A","ZNF385A"
"Itga5","ITGA5","ITGA5"
"Nckap1l","NCKAP1L","NCKAP1L"
"Pde1b","PDE1B","PDE1B"
"Ppp1r1a","PPP1R1A","PPP1R1A"
"Gucy1a2","GUCY1A2","GUCY1A2"
"Aasdhppt","AASDHPPT","AASDHPPT"
"Kbtbd3","KBTBD3","KBTBD3"
"Msantd4","MSANTD4","MSANTD4"
"Gria4","GRIA4","GRIA4"
"Casp12","CASP12","CASP12"
"Pdgfd","PDGFD","PDGFD"
"Dync2h1","DYNC2H1","DYNC2H1"
"Dcun1d5","DCUN1D5","DCUN1D5"
"Mmp13","MMP13",NA
"Mmp12","MMP12","MMP12"
"Mmp3","MMP3","MMP3"
"Mmp7","MMP7","MMP7"
"Tmem123","TMEM123","TMEM123"
"Birc2","BIRC2","BIRC2"
"Birc3","BIRC3","BIRC3"
"Yap1","YAP1","YAP1"
"Cfap300","CFAP300","CFAP300"
"Cep126","CEP126","CEP126"
"Trpc6","TRPC6","TRPC6"
"Pgr","PGR","PGR"
"Arhgap42","ARHGAP42","ARHGAP42"
"Cntn5","CNTN5","CNTN5"
"Jrkl","JRKL","JRKL"
"Ccdc82","CCDC82","CCDC82"
"Maml2","MAML2","MAML2"
"Mtmr2","MTMR2","MTMR2"
"Cep57","CEP57","CEP57"
"Fam76b","FAM76B","FAM76B"
"Sesn3","SESN3","SESN3"
"Endod1","ENDOD1","ENDOD1"
"Kdm4d","KDM4D","KDM4D"
"Cwc15","CWC15","CWC15"
"Amotl1","AMOTL1","AMOTL1"
"Piwil4","PIWIL4","PIWIL4"
"Fut4","FUT4","FUT4"
"Mre11","MRE11","MRE11"
"Ankrd49","ANKRD49","ANKRD49"
"Gpr83","GPR83","GPR83"
"Izumo1r","IZUMO1R","IZUMO1R"
"Panx1","PANX1","PANX1"
"Hephl1","HEPHL1","HEPHL1"
"Vstm5","VSTM5","VSTM5"
"Med17","MED17","MED17"
"Taf1d","TAF1D","TAF1D"
"LOC120094458","SNORA25","SNORA25"
"Cep295","CEP295","CEP295"
"Smco4","SMCO4","SMCO4"
"Deup1","DEUP1","DEUP1"
"Slc36a4","SLC36A4","SLC36A4"
"Fat3","FAT3","FAT3"
"Chordc1","CHORDC1","CHORDC1"
"Naalad2","NAALAD2","NAALAD2"
"Zfp317","ZNF317","ZNF317"
"Zfp560","ZNF121","ZNF121"
"Zfp426","ZNF426","ZNF426"
"Zfp266","ZNF266","ZNF266"
"Fbxl12","FBXL12","FBXL12"
"Olfm2","OLFM2","OLFM2"
"Col5a3","COL5A3","COL5A3"
"Shfl","SHFL","SHFL"
"Angptl6","ANGPTL6","ANGPTL6"
"Ppan","PPAN","PPAN"
"LOC120094524","SNORD105","SNORD105"
"Eif3g","EIF3G","EIF3G"
"Dnmt1","DNMT1","DNMT1"
"S1pr2","S1PR2","S1PR2"
"Mrpl4","MRPL4","MRPL4"
"Icam1","ICAM1","ICAM1"
"Icam4","ICAM4","ICAM4"
"Icam5","ICAM5","ICAM5"
"Zglp1","ZGLP1","ZGLP1"
"Fdx2","FDX2","FDX2"
"Raver1","RAVER1","RAVER1"
"Tyk2","TYK2","TYK2"
"Cdc37","CDC37","CDC37"
"Pde4a","PDE4A","PDE4A"
"Keap1","KEAP1","KEAP1"
"S1pr5","S1PR5","S1PR5"
"Atg4d","ATG4D","ATG4D"
"Kri1","KRI1","KRI1"
"Cdkn2d","CDKN2D","CDKN2D"
"Ap1m2","AP1M2","AP1M2"
"Slc44a2","SLC44A2","SLC44A2"
"Ilf3","ILF3","ILF3"
"Qtrt1","QTRT1","QTRT1"
"Dnm2","DNM2","DNM2"
"Tmed1","TMED1","TMED1"
"LOC691141","C19orf38","C19orf38"
"Yipf2","YIPF2","YIPF2"
"Smarca4","SMARCA4","SMARCA4"
"Ldlr","LDLR","LDLR"
"Spc24","SPC24","SPC24"
"Kank2","KANK2","KANK2"
"Dock6","DOCK6","DOCK6"
"Angptl8","ANGPTL8","ANGPTL8"
"Rab3d","RAB3D","RAB3D"
"Tmem205","TMEM205","TMEM205"
"Ccdc159","CCDC159","CCDC159"
"Plppr2","PLPPR2","PLPPR2"
"Swsap1","SWSAP1","SWSAP1"
"Epor","EPOR","EPOR"
"Odad3","ODAD3","ODAD3"
"Prkcsh","PRKCSH","PRKCSH"
"Elavl3","ELAVL3","ELAVL3"
"Zfp653","ZNF653","ZNF653"
"Ecsit","ECSIT","ECSIT"
"Cnn1","CNN1","CNN1"
"Elof1","ELOF1","ELOF1"
"Acp5","ACP5","ACP5"
"LOC100911320","ZNF709","ZNF709"
"Rp9","RP9","RP9"
"Bbs9","BBS9","BBS9"
"Bmper","BMPER","BMPER"
"Npsr1","NPSR1","NPSR1"
"Dpy19l1","DPY19L1","DPY19L1"
"Dpy19l2","DPY19L2","DPY19L2"
"Herpud2","HERPUD2","HERPUD2"
"Septin7","SEPTIN7","SEPTIN7"
"Eepd1","EEPD1","EEPD1"
"B3gat1","B3GAT1","B3GAT1"
"Glb1l2","GLB1L2","GLB1L2"
"Glb1l3","GLB1L3","GLB1L3"
"Acad8","ACAD8","ACAD8"
"Thyn1","THYN1","THYN1"
"Vps26b","VPS26B","VPS26B"
"Ncapd3","NCAPD3","NCAPD3"
"Jam3","JAM3","JAM3"
"Igsf9b","IGSF9B","IGSF9B"
"Spata19","SPATA19",NA
"Opcml","OPCML","OPCML"
"Ntm","NTM","NTM"
"Snx19","SNX19","SNX19"
"Adamts15","ADAMTS15","ADAMTS15"
"Adamts8","ADAMTS8","ADAMTS8"
"Zbtb44","ZBTB44","ZBTB44"
"St14","ST14","ST14"
"Aplp2","APLP2","APLP2"
"Prdm10","PRDM10","PRDM10"
"Nfrkb","NFRKB","NFRKB"
"Tmem45b","TMEM45B","TMEM45B"
"Barx2","BARX2","BARX2"
"Arhgap32","ARHGAP32","ARHGAP32"
"Kcnj5","KCNJ5","KCNJ5"
"Kcnj1","KCNJ1",NA
"Fli1","FLI1","FLI1"
"Ets1","ETS1","ETS1"
"Kirrel3","KIRREL3","KIRREL3"
"Tirap","TIRAP","TIRAP"
"Foxred1","FOXRED1","FOXRED1"
"Srpra","SRPRA","SRPRA"
"Fam118b","FAM118B","FAM118B"
"Rpusd4","RPUSD4","RPUSD4"
"Cdon","CDON","CDON"
"LOC120094427","RNU1-46P","RNU1-46P"
"Ddx25","DDX25","DDX25"
"Pus3","PUS3","PUS3"
"Hyls1","HYLS1","HYLS1"
"Pate2","PATE2","PATE2"
"Ei24","EI24","EI24"
"Fez1","FEZ1","FEZ1"
"Pknox2","PKNOX2","PKNOX2"
"Tmem218","TMEM218","TMEM218"
"Slc37a2","SLC37A2","SLC37A2"
"Ccdc15","CCDC15","CCDC15"
"Hepacam","HEPACAM","HEPACAM"
"Robo3","ROBO3","ROBO3"
"Msantd2","MSANTD2","MSANTD2"
"Esam","ESAM","ESAM"
"Vsig2","VSIG2","VSIG2"
"Nrgn","NRGN","NRGN"
"Spa17","SPA17","SPA17"
"Siae","SIAE","SIAE"
"Panx3","PANX3","PANX3"
"Zfp202","ZNF202","ZNF202"
"Scn3b","SCN3B","SCN3B"
"Gramd1b","GRAMD1B","GRAMD1B"
"Clmp","CLMP","CLMP"
"LOC120094547","SNORD14C","SNORD14C"
"LOC120094548","SNORD14D","SNORD14D"
"Jhy","JHY","JHY"
"Ubash3b","UBASH3B","UBASH3B"
"Sorl1","SORL1","SORL1"
"Sc5d","SC5D","SC5D"
"Tecta","TECTA","TECTA"
"Tbcel","TBCEL","TBCEL"
"Grik4","GRIK4","GRIK4"
"Arhgef12","ARHGEF12","ARHGEF12"
"Tlcd5","TLCD5","TLCD5"
"Pou2f3","POU2F3","POU2F3"
"Oaf","OAF","OAF"
"Trim29","TRIM29","TRIM29"
"Nectin1","NECTIN1","NECTIN1"
"Thy1","THY1","THY1"
"Usp2","USP2","USP2"
"Mfrp","MFRP","MFRP"
"C1qtnf5","C1QTNF5","C1QTNF5"
"Mcam","MCAM","MCAM"
"Cbl","CBL","CBL"
"Ccdc153","CCDC153","CCDC153"
"Pdzd3","NHERF4","NHERF4"
"Nlrx1","NLRX1","NLRX1"
"Abcg4","ABCG4","ABCG4"
"Hinfp","HINFP","HINFP"
"C2cd2l","C2CD2L","C2CD2L"
"Dpagt1","DPAGT1","DPAGT1"
"H2ax","H2AX","H2AX"
"Hmbs","HMBS","HMBS"
"Vps11","VPS11","VPS11"
"Hyou1","HYOU1","HYOU1"
"Slc37a4","SLC37A4","SLC37A4"
"Trappc4","TRAPPC4","TRAPPC4"
"Cenatac","CENATAC","CENATAC"
"Foxr1","FOXR1","FOXR1"
"Upk2","UPK2","UPK2"
"Bcl9l","BCL9L","BCL9L"
"Cxcr5","CXCR5","CXCR5"
"Ddx6","DDX6","DDX6"
"Treh","TREH","TREH"
"Phldb1","PHLDB1","PHLDB1"
"Arcn1","ARCN1","ARCN1"
"Ift46","IFT46","IFT46"
"Tmem25","TMEM25","TMEM25"
"Kmt2a","KMT2A","KMT2A"
"Ube4a","UBE4A","UBE4A"
"Cd3g","CD3G","CD3G"
"Cd3d","CD3D","CD3D"
"Cd3e","CD3E","CD3E"
"Mpzl2","MPZL2","MPZL2"
"Mpzl3","MPZL3","MPZL3"
"Scn2b","SCN2B","SCN2B"
"Scn4b","SCN4B","SCN4B"
"Tmprss4","TMPRSS4","TMPRSS4"
"Il10ra","IL10RA","IL10RA"
"Tmprss13","TMPRSS13","TMPRSS13"
"Fxyd6","FXYD6","FXYD6"
"Dscaml1","DSCAML1","DSCAML1"
"Cep164","CEP164","CEP164"
"Bace1","BACE1","BACE1"
"Rnf214","RNF214","RNF214"
"Pcsk7","PCSK7","PCSK7"
"Tagln","TAGLN","TAGLN"
"Sidt2","SIDT2","SIDT2"
"Pafah1b2","PAFAH1B2","PAFAH1B2"
"Sik3","SIK3","SIK3"
"Apoa1","APOA1","APOA1"
"Apoc3","APOC3","APOC3"
"Apoa5","APOA5","APOA5"
"Zpr1","ZPR1","ZPR1"
"Bud13","BUD13","BUD13"
"Cadm1","CADM1","CADM1"
"Nxpe4","NXPE4","NXPE4"
"Nxpe2","NXPE2","NXPE2"
"Nxpe1","NXPE1","NXPE1"
"Rexo2","REXO2","REXO2"
"Rbm7","RBM7","RBM7"
"Nnmt","NNMT","NNMT"
"Zbtb16","ZBTB16","ZBTB16"
"Htr3a","HTR3A","HTR3A"
"Usp28","USP28","USP28"
"Zw10","ZW10","ZW10"
"Tmprss5","TMPRSS5","TMPRSS5"
"Drd2","DRD2","DRD2"
"Ttc12","TTC12","TTC12"
"Ncam1","NCAM1","NCAM1"
"Plet1","PLET1","PLET1"
"Pts","PTS","PTS"
"Bco2","BCO2","BCO2"
"Il18","IL18","IL18"
"Tex12","TEX12","TEX12"
"Timm8b","TIMM8B","TIMM8B"
"Nkapd1","NKAPD1","NKAPD1"
"Pih1d2","PIH1D2","PIH1D2"
"Dlat","DLAT","DLAT"
"Dixdc1","DIXDC1","DIXDC1"
"Hspb2","HSPB2","HSPB2"
"Cryab","CRYAB","CRYAB"
"Fdxacb1","FDXACB1","FDXACB1"
"Alg9","ALG9","ALG9"
"Ppp2r1b","PPP2R1B","PPP2R1B"
"Sik2","SIK2","SIK2"
"Layn","LAYN","LAYN"
"Hoatz","HOATZ","HOATZ"
"Btg4","BTG4","BTG4"
"Pou2af1","POU2AF1","POU2AF1"
"Arhgap20","ARHGAP20","ARHGAP20"
"Fdx1","FDX1","FDX1"
"Rdx","RDX","RDX"
"Zc3h12c","ZC3H12C","ZC3H12C"
"LOC100125362","C11orf87","C11orf87"
"Ddx10","DDX10","DDX10"
"Exph5","EXPH5","EXPH5"
"Poglut3","POGLUT3","POGLUT3"
"Atm","ATM","ATM"
"Npat","NPAT","NPAT"
"Acat1","ACAT1","ACAT1"
"Cul5","CUL5","CUL5"
"Rab39a","RAB39A","RAB39A"
"Slc35f2","SLC35F2","SLC35F2"
"Elmod1","ELMOD1","ELMOD1"
"Tnfaip8l3","TNFAIP8L3","TNFAIP8L3"
"Cyp19a1","CYP19A1","CYP19A1"
"Gldn","GLDN","GLDN"
"Dmxl2","DMXL2","DMXL2"
"Sh2d7","SH2D7","SH2D7"
"Idh3a","IDH3A","IDH3A"
"Acsbg1","ACSBG1","ACSBG1"
"Dnaja4","DNAJA4","DNAJA4"
"Crabp1","CRABP1","CRABP1"
"Ireb2","IREB2","IREB2"
"Hykk","HYKK","HYKK"
"Psma4","PSMA4","PSMA4"
"Chrna5","CHRNA5","CHRNA5"
"Chrna3","CHRNA3","CHRNA3"
"Ube2q2","UBE2Q2","UBE2Q2"
"Fbxo22","FBXO22","FBXO22"
"Nrg4","NRG4","NRG4"
"Tmem266","TMEM266","TMEM266"
"Etfa","ETFA","ETFA"
"Isl2","ISL2",NA
"Scaper","SCAPER","SCAPER"
"Rcn2","RCN2","RCN2"
"Pstpip1","PSTPIP1","PSTPIP1"
"Tspan3","TSPAN3","TSPAN3"
"Peak1","PEAK1","PEAK1"
"Hmg20a","HMG20A","HMG20A"
"Lingo1","LINGO1","LINGO1"
"Odf3l1","CIMAP1C","CIMAP1C"
"Cspg4","CSPG4","CSPG4"
"Snx33","SNX33","SNX33"
"Snupn","SNUPN","SNUPN"
"Ptpn9","PTPN9","PTPN9"
"Sin3a","SIN3A","SIN3A"
"Man2c1","MAN2C1","MAN2C1"
"Neil1","NEIL1","NEIL1"
"Commd4","COMMD4","COMMD4"
"Ppcdc","PPCDC","PPCDC"
"Scamp5","SCAMP5","SCAMP5"
"Rpp25","RPP25","RPP25"
"Fam219b","FAM219B","FAM219B"
"Mpi","MPI","MPI"
"Scamp2","SCAMP2","SCAMP2"
"Ulk3","ULK3","ULK3"
"Cplx3","CPLX3","CPLX3"
"Lman1l","LMAN1L","LMAN1L"
"Csk","CSK","CSK"
"Edc3","EDC3","EDC3"
"Clk3","CLK3","CLK3"
"Arid3b","ARID3B","ARID3B"
"Ubl7","UBL7","UBL7"
"Sema7a","SEMA7A","SEMA7A"
"Ccdc33","CCDC33","CCDC33"
"Stra6","STRA6","STRA6"
"Islr","ISLR","ISLR"
"Islr2","ISLR2","ISLR2"
"Pml","PML","PML"
"Stoml1","STOML1","STOML1"
"Loxl1","LOXL1","LOXL1"
"Insyn1","INSYN1","INSYN1"
"Cd276","CD276","CD276"
"Nptn","NPTN","NPTN"
"Rec114","REC114","REC114"
"Hcn4","HCN4","HCN4"
"Neo1","NEO1","NEO1"
"Adpgk","ADPGK","ADPGK"
"Bbs4","BBS4","BBS4"
"Arih1","ARIH1","ARIH1"
"Hexa","HEXA","HEXA"
"Celf6","CELF6","CELF6"
"Parp6","PARP6","PARP6"
"Gramd2a","GRAMD2A","GRAMD2A"
"Senp8","SENP8","SENP8"
"Myo9a","MYO9A","MYO9A"
"Thsd4","THSD4","THSD4"
"Lrrc49","LRRC49","LRRC49"
"Larp6","LARP6","LARP6"
"Uaca","UACA","UACA"
"Tle3","TLE3","TLE3"
"Kif23","KIF23","KIF23"
"Paqr5","PAQR5","PAQR5"
"Glce","GLCE","GLCE"
"Spesp1","SPESP1","SPESP1"
"Coro2b","CORO2B","CORO2B"
"Itga11","ITGA11","ITGA11"
"Fem1b","FEM1B","FEM1B"
"Cln6","CLN6","CLN6"
"Calml4","CALML4","CALML4"
"Pias1","PIAS1","PIAS1"
"Skor1","SKOR1","SKOR1"
"Map2k5","MAP2K5","MAP2K5"
"Iqch","IQCH","IQCH"
"Aagab","AAGAB","AAGAB"
"Smad3","SMAD3","SMAD3"
"Smad6","SMAD6","SMAD6"
"Lctl","LCTL",NA
"Zwilch","ZWILCH","ZWILCH"
"LOC120094440","SNORD18A",NA
"LOC120094441","SNORD16",NA
"Map2k1","MAP2K1","MAP2K1"
"Dis3l","DIS3L","DIS3L"
"Megf11","MEGF11","MEGF11"
"Rab11a","RAB11A","RAB11A"
"Dennd4a","DENND4A","DENND4A"
"Slc24a1","SLC24A1","SLC24A1"
"Ints14","INTS14","INTS14"
"Hacd3","HACD3","HACD3"
"Dpp8","DPP8","DPP8"
"Igdcc4","IGDCC4","IGDCC4"
"Igdcc3","IGDCC3","IGDCC3"
"Parp16","PARP16","PARP16"
"Cilp","CILP","CILP"
"Clpx","CLPX","CLPX"
"Pdcd7","PDCD7","PDCD7"
"Ubap1l","UBAP1L","UBAP1L"
"Rasl12","RASL12","RASL12"
"Slc51b","SLC51B","SLC51B"
"Mtfmt","MTFMT","MTFMT"
"Spg21","SPG21","SPG21"
"Ankdd1a","ANKDD1A","ANKDD1A"
"Plekho2","PLEKHO2","PLEKHO2"
"Pif1","PIF1","PIF1"
"Rbpms2","RBPMS2","RBPMS2"
"Oaz2","OAZ2","OAZ2"
"Zfp609","ZNF609","ZNF609"
"Trip4","TRIP4","TRIP4"
"Csnk1g1","CSNK1G1","CSNK1G1"
"Ppib","PPIB","PPIB"
"Snx22","SNX22","SNX22"
"Snx1","SNX1","SNX1"
"Ciao2a","CIAO2A","CIAO2A"
"Dapk2","DAPK2","DAPK2"
"Herc1","HERC1","HERC1"
"Fbxl22","FBXL22","FBXL22"
"Usp3","USP3","USP3"
"Rab8b","RAB8B","RAB8B"
"Rps27l","RPS27L","RPS27L"
"Lactb","LACTB","LACTB"
"Tpm1","TPM1","TPM1"
"Tln2","TLN2","TLN2"
"Vps13c","VPS13C","VPS13C"
"Rora","RORA","RORA"
"Ice2","ICE2","ICE2"
"Bnip2","BNIP2","BNIP2"
"Gcnt3","GCNT3",NA
"Fam81a","FAM81A","FAM81A"
"Myo1e","MYO1E","MYO1E"
"Ccnb2","CCNB2","CCNB2"
"Rnf111","RNF111","RNF111"
"Sltm","SLTM","SLTM"
"Mindy2","MINDY2","MINDY2"
"Adam10","ADAM10","ADAM10"
"Aqp9","AQP9","AQP9"
"Aldh1a2","ALDH1A2","ALDH1A2"
"Cgnl1","CGNL1","CGNL1"
"Tcf12","TCF12","TCF12"
"Zfp280d","ZNF280D","ZNF280D"
"Mns1","MNS1","MNS1"
"Tex9","TEX9","TEX9"
"Rfx7","RFX7","RFX7"
"Nedd4","NEDD4","NEDD4"
"Prtg","PRTG","PRTG"
"Pygo1","PYGO1","PYGO1"
"Dnaaf4","DNAAF4","DNAAF4"
"Ccpg1","CCPG1","CCPG1"
"Pigb","PIGB","PIGB"
"Pigbos1","PIGBOS1","PIGBOS1"
"Rab27a","RAB27A","RAB27A"
"Khdc3","KHDC3L","KHDC3L"
"Rsl24d1","RSL24D1","RSL24D1"
"Unc13c","UNC13C","UNC13C"
"Wdr72","WDR72","WDR72"
"Onecut1","ONECUT1","ONECUT1"
"Myo5a","MYO5A","MYO5A"
"Myo5c","MYO5C","MYO5C"
"Gnb5","GNB5","GNB5"
"Bcl2l10","BCL2L10","BCL2L10"
"Mapk6","MAPK6","MAPK6"
"Leo1","LEO1","LEO1"
"Tmod3","TMOD3","TMOD3"
"Tmod2","TMOD2","TMOD2"
"Lysmd2","LYSMD2","LYSMD2"
"Scg3","SCG3","SCG3"
"Bmp5","BMP5","BMP5"
"Hmgcll1","HMGCLL1","HMGCLL1"
"Gfral","GFRAL","GFRAL"
"Hcrtr2","HCRTR2","HCRTR2"
"Tinag","TINAG","TINAG"
"Mlip","MLIP","MLIP"
"Lrrc1","LRRC1","LRRC1"
"Klhl31","KLHL31","KLHL31"
"Gclc","GCLC","GCLC"
"Elovl5","ELOVL5","ELOVL5"
"Fbxo9","FBXO9","FBXO9"
"Cilk1","CILK1","CILK1"
"Cgas","CGAS","CGAS"
"Mto1","MTO1","MTO1"
"Cd109","CD109","CD109"
"LOC120094401","RNU6-1288P",NA
"Col12a1","COL12A1","COL12A1"
"Tmem30a","TMEM30A","TMEM30A"
"Filip1","FILIP1","FILIP1"
"Senp6","SENP6","SENP6"
"Myo6","MYO6","MYO6"
"Htr1b","HTR1B","HTR1B"
"Mei4","MEI4","MEI4"
"Irak1bp1","IRAK1BP1","IRAK1BP1"
"Phip","PHIP","PHIP"
"Hmgn3","HMGN3","HMGN3"
"Lca5","LCA5","LCA5"
"Sh3bgrl2","SH3BGRL2","SH3BGRL2"
"Elovl4","ELOVL4","ELOVL4"
"Ttk","TTK","TTK"
"Bckdhb","BCKDHB","BCKDHB"
"Tent5a","TENT5A","TENT5A"
"Ibtk","IBTK","IBTK"
"Tpbg","TPBG","TPBG"
"Ube3d","UBE3D","UBE3D"
"Dop1a","DOP1A","DOP1A"
"Pgm3","PGM3","PGM3"
"Rwdd2a","RWDD2A","RWDD2A"
"Me1","ME1","ME1"
"Prss35","PRSS35","PRSS35"
"Snap91","SNAP91","SNAP91"
"Ripply2","RIPPLY2","RIPPLY2"
"Cyb5r4","CYB5R4","CYB5R4"
"Mrap2","MRAP2","MRAP2"
"Cep162","CEP162","CEP162"
"Tbx18","TBX18","TBX18"
"Nt5e","NT5E","NT5E"
"Snx14","SNX14","SNX14"
"Syncrip","SYNCRIP","SYNCRIP"
"Bcl2a1","BCL2A1","BCL2A1"
"Mthfs","MTHFS","MTHFS"
"Minar1","MINAR1","MINAR1"
"Tmed3","TMED3","TMED3"
"Ankrd34c","ANKRD34C","ANKRD34C"
"Rasgrf1","RASGRF1","RASGRF1"
"Ctsh","CTSH","CTSH"
"Morf4l1","MORF4L1","MORF4L1"
"Adamts7","ADAMTS7","ADAMTS7"
"Tbc1d2b","TBC1D2B","TBC1D2B"
"Zic1","ZIC1","ZIC1"
"Zic4","ZIC4","ZIC4"
"Plscr5","PLSCR5","PLSCR5"
"Plscr4","PLSCR4","PLSCR4"
"Plod2","PLOD2","PLOD2"
"Dipk2a","DIPK2A","DIPK2A"
"Slc9a9","SLC9A9","SLC9A9"
"Chst2","CHST2","CHST2"
"U2surp","U2SURP","U2SURP"
"PCOLCE2","PCOLCE2","PCOLCE2"
"Trpc1","TRPC1","TRPC1"
"Pls1","PLS1","PLS1"
"Atr","ATR","ATR"
"Xrn1","XRN1","XRN1"
"Gk5","GK5","GK5"
"Tfdp2","TFDP2","TFDP2"
"Atp1b3","ATP1B3","ATP1B3"
"Rnf7","RNF7","RNF7"
"Rasa2","RASA2","RASA2"
"Zbtb38","ZBTB38","ZBTB38"
"Pxylp1","PXYLP1","PXYLP1"
"Spsb4","SPSB4","SPSB4"
"Clstn2","CLSTN2","CLSTN2"
"Nmnat3","NMNAT3","NMNAT3"
"Rbp1","RBP1","RBP1"
"Rbp2","RBP2","RBP2"
"Copb2","COPB2","COPB2"
"Mrps22","MRPS22","MRPS22"
"Faim","FAIM","FAIM"
"Cxadrl1","CXADR","CXADR"
"Pik3cb","PIK3CB","PIK3CB"
"Cep70","CEP70","CEP70"
"Esyt3","ESYT3","ESYT3"
"Mras","MRAS","MRAS"
"Armc8","ARMC8","ARMC8"
"Dbr1","DBR1","DBR1"
"A4gnt","A4GNT",NA
"Dzip1l","DZIP1L","DZIP1L"
"Il20rb","IL20RB","IL20RB"
"Nck1","NCK1","NCK1"
"Slc35g2","SLC35G2","SLC35G2"
"Stag1","STAG1","STAG1"
"Pccb","PCCB","PCCB"
"Msl2","MSL2","MSL2"
"Ppp2r3a","PPP2R3A","PPP2R3A"
"Ephb1","EPHB1","EPHB1"
"Ky","KY","KY"
"Cep63","CEP63","CEP63"
"Anapc13","ANAPC13","ANAPC13"
"Amotl2","AMOTL2","AMOTL2"
"Ryk","RYK","RYK"
"Slco2a1","SLCO2A1","SLCO2A1"
"Rab6b","RAB6B","RAB6B"
"Tf","SRPRB","SRPRB"
"Topbp1","TOPBP1","TOPBP1"
"Cdv3","CDV3","CDV3"
"Bfsp2","BFSP2","BFSP2"
"Tmem108","TMEM108","TMEM108"
"Nphp3","NPHP3","NPHP3"
"Uba5","UBA5","UBA5"
"Acad11","ACAD11","ACAD11"
"Ackr4","ACKR4","ACKR4"
"Dnajc13","DNAJC13","DNAJC13"
"Acp3","ACP3","ACP3"
"Cpne4","CPNE4","CPNE4"
"Mrpl3","MRPL3","MRPL3"
"Nudt16","NUDT16","NUDT16"
"Nek11","NEK11","NEK11"
"Aste1","ASTE1","ASTE1"
"Atp2c1","ATP2C1","ATP2C1"
"Pik3r4","PIK3R4","PIK3R4"
"Col6a6","COL6A6","COL6A6"
"Col6a5","COL6A5","COL6A5"
"Glyctk","GLYCTK","GLYCTK"
"Wdr82","WDR82","WDR82"
"Ppm1m","PPM1M","PPM1M"
"Twf2","TWF2","TWF2"
"Tlr9","TLR9",NA
"Alas1","ALAS1","ALAS1"
"Poc1a","POC1A","POC1A"
"Dusp7","DUSP7","DUSP7"
"Acy1","ACY1","ACY1"
"Abhd14a","ABHD14A","ABHD14A"
"Abhd14b","ABHD14B","ABHD14B"
"Pcbp4","PCBP4","PCBP4"
"Gpr62","GPR62","GPR62"
"Parp3","PARP3","PARP3"
"Rrp9","RRP9","RRP9"
"Iqcf1","IQCF1","IQCF1"
"Grm2","GRM2","GRM2"
"Tex264","TEX264","TEX264"
"Rad54l2","RAD54L2","RAD54L2"
"Dcaf1","DCAF1","DCAF1"
"Dock3","DOCK3","DOCK3"
"Mapkapk3","MAPKAPK3","MAPKAPK3"
"Cish","CISH","CISH"
"Hemk1","HEMK1","HEMK1"
"RGD1307461","C3orf18","C3orf18"
"Cacna2d2","CACNA2D2","CACNA2D2"
"Tmem115","TMEM115","TMEM115"
"Cyb561d2","CYB561D2","CYB561D2"
"Nprl2","NPRL2","NPRL2"
"Zmynd10","ZMYND10","ZMYND10"
"Rassf1","RASSF1","RASSF1"
"Hyal2","HYAL2","HYAL2"
"Hyal1","HYAL1","HYAL1"
"Naa80","NAA80","NAA80"
"Hyal3","HYAL3","HYAL3"
